Lot Num,Artist Name,Year Of Artwork,Genre,Real Price Usd,Event Date,country,TotalSales
5397441,Erro,1960,Paintings,"9,420",9/6/2014,USA,1
5397615,Erro,2011,Paintings,"3,109",9/6/2014,USA,1
5403305,Erro,2006,Prints,null,5/26/2014,France,1
5404322,Erro,1971,Paintings,"6,483",5/19/2014,Portugal,1
5410095,Erro,2006,Paintings,"1,015",6/16/2014,France,1
5410096,Erro,2006,Paintings,"1,079",6/16/2014,France,1
5411989,Erro,1991,Prints,700,6/23/2014,France,1
5413618,Erro,1992,Prints,318,6/23/2014,France,1
5415966,Erro,null,Prints,298,6/30/2014,France,1
5431406,Erro,1963,Works on Paper,"1,210",10/20/2014,France,1
5445267,Erro,1995,Works on Paper,null,3/29/2014,Belgium,1
5445269,Erro,1991,Prints,"1,500",3/29/2014,Belgium,1
5445270,Erro,2010,Paintings,"13,504",3/29/2014,Belgium,1
5445271,Erro,1991,Paintings,null,3/29/2014,Belgium,1
5445603,Erro,1995,Works on Paper,"2,462",6/14/2014,Belgium,1
5445605,Erro,2008,Prints,"1,231",6/14/2014,Belgium,1
5445606,Erro,2001,Prints,443,6/14/2014,Belgium,1
5445608,Erro,2008,Paintings,"8,864",6/14/2014,Belgium,1
5445609,Erro,1991,Paintings,null,6/14/2014,Belgium,1
5449522,Erro,1972,Paintings,null,10/22/2014,France,1
5450642,Erro,1995,Works on Paper,null,10/25/2014,Belgium,1
5450643,Erro,2013,Prints,null,10/25/2014,Belgium,1
5450644,Erro,2008,Sculpture,null,10/25/2014,Belgium,1
5450645,Erro,2008,Paintings,null,10/25/2014,Belgium,1
5451802,Erro,1975,Works on Paper,"5,131",10/28/2014,France,1
5451804,Erro,1985,Works on Paper,"5,012",10/28/2014,France,1
5451810,Erro,2000,Paintings,"5,012",10/28/2014,France,1
5455296,Erro,1991,Prints,994,11/5/2014,France,1
5455309,Erro,null,Prints,584,11/5/2014,France,1
5455310,Erro,2001,Prints,null,11/5/2014,France,1
5455311,Erro,2008,Prints,null,11/5/2014,France,1
5456434,Erro,2001,Prints,352,4/26/2014,France,1
5456435,Erro,2001,Prints,null,4/26/2014,France,1
5456436,Erro,2001,Prints,null,4/26/2014,France,1
5456437,Erro,2001,Prints,null,4/26/2014,France,1
5462313,Erro,2012,Paintings,"26,163",4/26/2014,France,1
5462314,Erro,2013,Paintings,"8,050",4/26/2014,France,1
5462315,Erro,2012,Paintings,null,4/26/2014,France,1
5462316,Erro,2008,Paintings,null,4/26/2014,France,1
5462317,Erro,2013,Paintings,654,4/26/2014,France,1
5462492,Erro,2007,Paintings,null,12/4/2014,Germany,1
5462493,Erro,2006,Paintings,null,12/4/2014,Germany,1
5462494,Erro,2009,Paintings,null,12/4/2014,Germany,1
5469421,Erro,2003,Paintings,"19,912",12/2/2014,France,1
5488366,Erro,1988,Prints,null,12/5/2014,France,1
5492385,Erro,null,Works on Paper,"1,735",12/14/2014,France,1
5493103,Erro,2012,Paintings,null,12/14/2014,France,1
5496806,Erro,2008,Paintings,"9,913",12/15/2014,France,1
5497396,Erro,1991,Prints,916,12/19/2014,France,1
5497486,Erro,2001,Prints,343,12/19/2014,France,1
5550827,Erro,2009,Sculpture,"9,964",11/13/2014,Portugal,1
5553384,Erro,1975,Paintings,"10,344",10/14/2014,France,1
5553385,Erro,2006,Paintings,"5,172",10/14/2014,France,1
5570225,Erro,2006,Prints,null,1/22/2015,UK,1
5580866,Erro,null,Prints,null,1/26/2015,France,1
5616318,Erro,1975,Works on Paper,810,12/2/2014,USA,1
5620496,Erro,1977,Paintings,"2,438",11/25/2014,Denmark,1
5627350,Erro,2011,Paintings,null,3/10/2015,France,1
5627351,Erro,2001,Paintings,null,3/10/2015,France,1
5627352,Erro,2014,Sculpture,null,3/10/2015,France,1
5627355,Erro,2013,Paintings,null,3/10/2015,France,1
5638271,Erro,2006,Paintings,null,3/26/2015,Germany,1
5638272,Erro,2007,Paintings,null,3/26/2015,Germany,1
322107,Fang Lijun,2003,Paintings,"136,412",10/24/2005,China,1
322108,Fang Lijun,1996,Paintings,"47,744",10/24/2005,China,1
338165,Fang Lijun,2002,Paintings,"33,884",10/8/2005,Singapore,1
431283,Fang Lijun,1999,Prints,"77,071",4/8/2006,China,1
431284,Fang Lijun,2001,Paintings,"220,205",4/8/2006,China,1
436479,Fang Lijun,1997,Paintings,"51,250",3/31/2006,UK,1
436480,Fang Lijun,2001,Paintings,"93,959",3/31/2006,UK,1
436538,Fang Lijun,null,Prints,"32,032",3/31/2006,UK,1
436539,Fang Lijun,null,Prints,"9,396",3/31/2006,UK,1
436540,Fang Lijun,1997,Paintings,"196,460",3/31/2006,UK,1
451435,Fang Lijun,2000,Paintings,"198,339",5/28/2006,China,1
451482,Fang Lijun,2003,Paintings,"165,283",5/28/2006,China,1
451483,Fang Lijun,1996,Paintings,"308,528",5/28/2006,China,1
493951,Fang Lijun,2001,Prints,"14,986",6/29/2006,France,1
504916,Fang Lijun,1997,Paintings,"158,441",10/15/2006,Hong Kong,1
510123,Fang Lijun,2001,Paintings,"256,252",9/20/2006,UK,1
530413,Fang Lijun,1990,Paintings,"392,920",11/16/2006,UK,1
530420,Fang Lijun,1993,Paintings,"128,126",11/16/2006,UK,1
540078,Fang Lijun,2002,Paintings,"665,451",10/14/2006,Hong Kong,1
540112,Fang Lijun,2004,Paintings,"39,610",10/14/2006,Hong Kong,1
540236,Fang Lijun,2000,Prints,"21,354",9/12/2006,UK,1
541500,Fang Lijun,1996,Prints,"25,625",11/15/2006,UK,1
736190,Fang Lijun,2000,Paintings,"19,147",5/14/2002,UK,1
3284865,Fang Lijun,1997,Prints,"21,952",10/9/2006,China,1
3284870,Fang Lijun,null,Paintings,"318,308",10/9/2006,China,1
3285360,Fang Lijun,2000,Prints,"32,928",10/9/2006,China,1
3302089,Fang Lijun,2004,Paintings,"94,347",2/8/2007,Hong Kong,1
3312157,Fang Lijun,2001,Paintings,"52,685",11/26/2006,China,1
3312158,Fang Lijun,2001,Paintings,"197,570",11/26/2006,China,1
3312291,Fang Lijun,1997,Prints,"17,562",11/26/2006,China,1
3314975,Fang Lijun,2004,Paintings,"81,002",2/9/2007,Hong Kong,1
3319112,Fang Lijun,1996,Paintings,"84,758",12/9/2006,Switzerland,1
3334756,Fang Lijun,2001,Paintings,"149,495",3/21/2007,UK,1
3334757,Fang Lijun,2001,Prints,"13,288",3/21/2007,UK,1
3334758,Fang Lijun,1999,Paintings,"107,969",3/21/2007,UK,1
3335057,Fang Lijun,1996,Prints,"51,028",4/7/2007,China,1
3335144,Fang Lijun,2002,Prints,"5,847",4/7/2007,China,1
3355027,Fang Lijun,2001,Paintings,"398,654",5/17/2007,UK,1
3360184,Fang Lijun,1989,Works on Paper,"314,370",6/21/2007,Hong Kong,1
3372907,Fang Lijun,1984,Works on Paper,"79,669",5/27/2007,China,1
3372908,Fang Lijun,1994,Paintings,"478,011",5/27/2007,China,1
3372909,Fang Lijun,2002,Paintings,"169,960",5/27/2007,China,1
3372910,Fang Lijun,2004,Paintings,"191,205",5/27/2007,China,1
3403577,Fang Lijun,2001,Paintings,"81,778",2/6/2007,Hong Kong,1
3403596,Fang Lijun,2001,Paintings,"106,311",2/6/2007,Hong Kong,1
3405945,Fang Lijun,null,Sculpture,"5,051",6/23/2007,Switzerland,1
3413889,Fang Lijun,2001,Paintings,"1,321,134",10/14/2007,Hong Kong,1
3413894,Fang Lijun,2001,Paintings,"1,169,780",10/14/2007,Hong Kong,1
3416117,Fang Lijun,1996,Prints,"16,588",9/18/2007,Hong Kong,1
3427867,Fang Lijun,null,Paintings,"1,245,795",9/20/2007,UK,1
3432081,Fang Lijun,null,Paintings,"3,382,747",11/14/2007,UK,1
3438837,Fang Lijun,null,Prints,"4,521",12/12/2006,France,1
3446972,Fang Lijun,null,Sculpture,"45,801",10/7/2007,China,1
3446998,Fang Lijun,1998,Prints,"386,501",10/7/2007,China,1
3464243,Fang Lijun,1993,Paintings,"344,260",2/28/2008,Hong Kong,1
3471293,Fang Lijun,2000,Paintings,null,2/27/2008,Hong Kong,1
3482799,Fang Lijun,1999,Prints,"183,167",3/17/2008,UK,1
3482807,Fang Lijun,1999,Prints,"125,578",3/17/2008,UK,1
3482809,Fang Lijun,2000,Prints,"17,997",3/17/2008,UK,1
3508135,Fang Lijun,1997,Prints,"18,057",12/1/2008,China,1
3514459,Fang Lijun,1994,Paintings,"237,318",11/30/2008,China,1
3529540,Fang Lijun,1996,Paintings,null,10/4/2008,China,1
3530809,Fang Lijun,2000,Prints,null,3/4/2009,UK,1
3544810,Fang Lijun,2004,Works on Paper,"56,320",2/12/2009,Hong Kong,1
3546980,Fang Lijun,2002,Prints,null,12/8/2007,Switzerland,1
3561256,Fang Lijun,null,Sculpture,null,6/30/2008,Switzerland,1
3571531,Fang Lijun,1994,Paintings,"474,269",5/24/2009,China,1
3611194,Fang Lijun,2005,Sculpture,null,11/25/2008,USA,1
3615804,Fang Lijun,2002,Sculpture,"107,075",7/1/2008,Hong Kong,1
3616151,Fang Lijun,2006,Paintings,"63,922",10/5/2008,China,1
3616152,Fang Lijun,2001,Paintings,"224,762",10/5/2008,China,1
3616153,Fang Lijun,2002,Prints,"12,887",10/5/2008,China,1
3618530,Fang Lijun,1997,Paintings,"74,594",7/1/2008,Hong Kong,1
3629405,Fang Lijun,1991,Paintings,"246,869",5/25/2008,China,1
3629652,Fang Lijun,2005,Sculpture,"19,226",5/25/2008,China,1
3629663,Fang Lijun,1998,Prints,"148,429",5/25/2008,China,1
3639603,Fang Lijun,1996,Prints,"58,390",5/15/2008,UK,1
3641980,Fang Lijun,2000,Prints,"25,873",6/30/2008,Hong Kong,1
3651931,Fang Lijun,1999,Prints,"197,957",4/9/2008,China,1
3652577,Fang Lijun,1999,Paintings,"87,039",4/9/2008,China,1
3652581,Fang Lijun,1999,Prints,"271,902",4/9/2008,China,1
3665769,Fang Lijun,1993,Paintings,"187,176",2/7/2008,Hong Kong,1
3665783,Fang Lijun,1998,Paintings,"243,095",2/7/2008,Hong Kong,1
3671416,Fang Lijun,2000,Prints,"19,434",9/29/2007,UK,1
3681460,Fang Lijun,1994,Paintings,"513,470",11/25/2007,China,1
3681461,Fang Lijun,1993,Paintings,"573,281",11/25/2007,China,1
3681462,Fang Lijun,1999,Works on Paper,"109,743",11/25/2007,China,1
3692403,Fang Lijun,2002,Paintings,"124,647",9/26/2009,Hong Kong,1
3697849,Fang Lijun,1998,Prints,"337,658",10/6/2009,China,1
3697850,Fang Lijun,1999,Prints,"200,938",10/6/2009,China,1
3697922,Fang Lijun,2000,Prints,"28,483",10/6/2009,China,1
3697973,Fang Lijun,null,Sculpture,"16,831",10/6/2009,China,1
3756841,Fang Lijun,2005,Prints,null,11/16/2007,UK,1
3827936,Fang Lijun,1996,Prints,null,12/18/2007,USA,1
3837125,Fang Lijun,1999,Prints,"127,233",11/13/2009,UK,1
3857805,Fang Lijun,1996,Prints,"101,481",11/30/2009,China,1
3885417,Fang Lijun,2000,Prints,null,12/15/2009,Netherlands,1
3898031,Fang Lijun,2006,Paintings,"299,107",2/12/2010,Hong Kong,1
3898086,Fang Lijun,2004,Sculpture,"68,500",2/12/2010,Hong Kong,1
3943992,Fang Lijun,1999,Prints,"294,987",4/5/2010,China,1
3943993,Fang Lijun,1997,Prints,"35,602",4/5/2010,China,1
3944150,Fang Lijun,2005,Sculpture,"10,172",4/5/2010,China,1
3944151,Fang Lijun,2000,Prints,"20,344",4/5/2010,China,1
3986496,Fang Lijun,1996,Prints,"103,526",4/23/2010,Hong Kong,1
3988812,Fang Lijun,2001,Paintings,"367,080",5/29/2010,China,1
3989316,Fang Lijun,2005,Sculpture,"27,885",5/30/2010,China,1
3989343,Fang Lijun,2000,Prints,"7,604",5/30/2010,China,1
4021809,Fang Lijun,2000,Prints,null,4/29/2010,UK,1
4037684,Fang Lijun,2001,Prints,"11,429",6/3/2010,Germany,1
4037685,Fang Lijun,2001,Prints,"11,429",6/3/2010,Germany,1
